[28004:30744:0309/143912.810:WARNING:chrome\browser\extensions\activity_log\activity_log_policy.cc:71] Scheduling init
[28004:30744:0309/143912.810:WARNING:chrome\browser\extensions\activity_log\activity_log_policy.cc:71] Scheduling init
[4772:15572:0309/143912.933:INFO:third_party\webrtc\rtc_base\cpu_info.cc:75] Available number of cores: 16
[19176:32780:0309/143912.967:INFO:third_party\webrtc\rtc_base\cpu_info.cc:75] Available number of cores: 16
[28004:956:0309/143913.006:INFO:chrome\common\importer\edge_chrome_importer_utils_win.cc:34] Google chrome user data path not found.
[28004:956:0309/143913.037:ERROR:chrome\browser\importer\edge_china_browsers\edge_qqbrowser_importer_utils_win.cc:163] QQBrowser user data path not found.
[6192:29916:0309/143913.102:VERBOSE1:components\viz\service\main\viz_main_impl.cc:86] VizNullHypothesis is disabled (not a warning)
[28004:30744:0309/143913.577:WARNING:chrome\browser\edge_pinned_sites\pinned_sites_cache.cc:256] Cache isn't initialized
[26112:17604:0309/143913.633:INFO:third_party\webrtc\rtc_base\cpu_info.cc:75] Available number of cores: 16
[28004:30744:0309/143913.731:WARNING:chrome\browser\edge_pinned_sites\pinned_sites_cache.cc:256] Cache isn't initialized
[28004:30744:0309/143913.977:WARNING:chrome\browser\edge_pinned_sites\pinned_sites_cache.cc:256] Cache isn't initialized
[28004:30744:0309/143914.022:WARNING:chrome\browser\edge_pinned_sites\pinned_sites_cache.cc:256] Cache isn't initialized
[28004:30744:0309/143915.501:WARNING:chrome\browser\edge_underside\underside_helper.cc:1134] If test does not need FrontLoad, this may be expected. SetFrontLoadDecision: 11
[28004:30744:0309/143930.709:INFO:CONSOLE:0] "Tracking Prevention blocked access to storage for https://res.wx.qq.com/t/wx_fed/cdn_libs/res/jquery/1.11.3/jquery.min.js.", source: https://weixin.sogou.com/weixin?ie=utf8&s_from=input&_sug_=y&_sug_type_=&type=2&query=%E9%9D%92%E7%A7%80%E5%B1%B1 (0)
[28004:30744:0309/143930.709:INFO:CONSOLE:0] "Tracking Prevention blocked access to storage for https://res.wx.qq.com/t/wx_fed/cdn_libs/res/jquery/1.11.3/jquery.min.js.", source: https://weixin.sogou.com/weixin?ie=utf8&s_from=input&_sug_=y&_sug_type_=&type=2&query=%E9%9D%92%E7%A7%80%E5%B1%B1 (0)
[23096:24836:0309/143930.774:INFO:third_party\webrtc\rtc_base\cpu_info.cc:75] Available number of cores: 16
[28004:30744:0309/143930.812:INFO:CONSOLE:288] "fast_login:  null", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143930.812:INFO:CONSOLE:288] "fastLogin_enabled:  true", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143930.897:INFO:CONSOLE:288] "checklogin请求发起: Mon Mar 09 2026 14:39:30 GMT+0800 (中国标准时间)", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143930.897:INFO:CONSOLE:288] "checklogin post redirect_uri https://account.sogou.com/connect/callback/weixin", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143930.898:INFO:CONSOLE:288] "当前port:  14013", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143930.899:INFO:CONSOLE:288] "checklogin post redirect_uri https://account.sogou.com/connect/callback/weixin", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
[28004:30744:0309/143930.899:INFO:CONSOLE:288] "当前port:  14014", source: https://open.weixin.qq.com/connect/qrconnect?appid=wx6634d697e8cc0a29&scope=snsapi_login&response_type=code&redirect_uri=https%3A%2F%2Faccount.sogou.com%2Fconnect%2Fcallback%2Fweixin&state=296912b5-b447-44d5-acd4-b8a7284e4c00&href=https%3A%2F%2Fdlweb.sogoucdn.com%2Fweixin%2Fcss%2Fweixin_join.min.css%3Fv%3D20170315&lang=zh_CN (288)
